City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
491,Gizo,SB,81.88,light rain,-8.103,156.8419,Imagination Island
492,Tarauaca,BR,77.36,overcast clouds,-8.1614,-70.7656,Flat Temporada
493,Opuwo,NA,80.46,overcast clouds,-18.0607,13.84,ABBA Guesthouse
496,Sassandra,CI,86.88,light rain,4.95,-6.0833,la terrasse
503,Black River,JM,75.2,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
507,Salalah,OM,77.09,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
512,Fare,PF,77.97,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
513,Garowe,SO,87.76,overcast clouds,8.4054,48.4845,Curubo Hotel
518,San Vicente,AR,85.41,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
533,Namatanai,PG,79.38,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
539,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
540,Vilhena,BR,79.02,scattered clouds,-12.7406,-60.1458,Hotel Mirage
543,Manokwari,ID,80.02,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
544,Porecatu,BR,86.07,overcast clouds,-22.7558,-51.3792,Hotel Central
553,Caravelas,BR,85.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
556,Balangiga,PH,77.29,broken clouds,11.1097,125.3875,Country Inn Bed and Breakfast
557,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
560,Santa Cruz,BO,80.65,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
561,Palembang,ID,78.89,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
568,Buchanan,LR,85.23,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
569,Bambanglipuro,ID,80.2,overcast clouds,-7.95,110.2833,Puri Brata
573,Ugoofaaru,MV,82.0,scattered clouds,5.6667,73.0,Ungoofaaru Inn
577,Mozarlandia,BR,82.81,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
578,Itarema,BR,86.29,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
579,Diffa,NE,85.37,clear sky,13.3154,12.6113,ProDAF/Diffa
580,Jeremie,HT,78.35,scattered clouds,18.65,-74.1167,Auberge’Inn
583,Karratha,AU,83.5,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
585,Booue,GA,87.44,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
588,Kupang,ID,81.63,moderate rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
589,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
593,San Andres,CO,78.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
596,Sulangan,PH,79.09,broken clouds,11.1373,123.7228,Maia's Beach Resort
601,Balud,PH,80.56,broken clouds,10.1476,123.6953,Pulchra Resort
606,Lakatoro,VU,80.2,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
