City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Mecca,SA,2022-01-02 08:48:30,21.4267,39.8261,73.65,40,19,12.33
212,Pemba,MZ,2022-01-02 08:52:51,-12.974,40.5178,90.3,62,40,8.99
213,Carutapera,BR,2022-01-02 08:52:51,-1.195,-46.02,75.09,92,93,5.1
214,Chongwe,ZM,2022-01-02 08:52:52,-15.3292,28.682,83.71,44,76,5.93
215,Margate,GB,2022-01-02 08:52:53,51.3813,1.3862,54.1,83,98,5.99
216,Kununurra,AU,2022-01-02 08:52:53,-15.7667,128.7333,102.18,32,100,3.44
217,Kupang,ID,2022-01-02 08:52:54,-10.1667,123.5833,82.98,78,40,4.61
218,Konya,TR,2022-01-02 08:52:54,38.1667,32.5,40.3,82,98,14.99
219,Port Elizabeth,ZA,2022-01-02 08:52:55,-33.918,25.5701,76.1,46,0,14.97
220,Tura,IN,2022-01-02 08:52:56,25.5198,90.2201,74.79,35,0,4.68
221,Takoradi,GH,2022-01-02 08:52:56,4.8845,-1.7554,83.55,68,9,3.13
222,Yulara,AU,2022-01-02 08:52:57,-25.2406,130.9889,103.84,9,49,9.22
223,Nuziders,AT,2022-01-02 08:52:57,47.1667,9.8,50.61,62,100,6.85
224,Pangkalanbuun,ID,2022-01-02 08:52:58,-2.6833,111.6167,79.75,84,100,5.03
225,Paamiut,GL,2022-01-02 08:52:59,61.994,-49.6678,17.55,72,100,10.92
226,Kieta,PG,2022-01-02 08:52:59,-6.2167,155.6333,81.25,78,86,1.07
227,Praia Da Vitoria,PT,2022-01-02 08:53:00,38.7333,-27.0667,61.75,94,40,14.54
228,Batemans Bay,AU,2022-01-02 08:53:01,-35.7167,150.1833,75.9,78,35,9.71
229,Charters Towers,AU,2022-01-02 08:53:02,-20.1,146.2667,87.15,51,62,7.56
230,Lahaina,US,2022-01-02 08:54:03,20.8783,-156.6825,76.8,85,99,3.02
231,Ahipara,NZ,2022-01-02 08:54:03,-35.1667,173.1667,66.47,80,89,9.04
232,San Cristobal,VE,2022-01-02 08:54:04,7.7669,-72.225,61.48,90,91,2.01
233,Kaeo,NZ,2022-01-02 08:50:10,-35.1,173.7833,69.33,84,36,10.25
234,Handan,CN,2022-01-02 08:54:05,36.6006,114.4678,37.9,28,69,5.46
235,Provideniya,RU,2022-01-02 08:54:05,64.3833,-173.3,7.29,97,100,4.07
236,Muravlenko,RU,2022-01-02 08:54:06,63.7898,74.523,12.56,96,100,6.22
237,Vestmannaeyjar,IS,2022-01-02 08:54:07,63.4427,-20.2734,26.89,53,37,22.77
238,Mercedes,AR,2022-01-02 08:54:08,-34.6515,-59.4307,65.17,90,4,5.66
239,Puerto Madero,MX,2022-01-02 08:54:08,14.7208,-92.4215,75.49,80,13,8.08
240,Mount Gambier,AU,2022-01-02 08:54:09,-37.8333,140.7667,67.91,52,0,16.11
241,Pringsewu,ID,2022-01-02 08:54:10,-5.3582,104.9744,83.7,69,77,7.76
242,Vanavara,RU,2022-01-02 08:54:11,60.34,102.2797,-21.95,99,80,3.24
243,Hirara,JP,2022-01-02 08:54:11,24.8,125.2833,67.86,88,75,18.41
244,Vila Franca Do Campo,PT,2022-01-02 08:54:12,37.7167,-25.4333,64.2,90,94,7.99
245,Mollendo,PE,2022-01-02 08:54:13,-17.0231,-72.0147,67.8,86,100,3.74
246,Tuatapere,NZ,2022-01-02 08:50:11,-46.1333,167.6833,64.81,85,100,2.8
247,La Orilla,MX,2022-01-02 08:54:14,17.9833,-102.2333,69.22,89,0,4.79
248,Canutama,BR,2022-01-02 08:54:14,-6.5339,-64.3831,73.31,99,100,2.57
249,Assiniboia,CA,2022-01-02 08:54:15,49.6334,-105.9845,4.82,66,68,11.5
250,Dukat,RU,2022-01-02 08:54:15,62.55,155.55,-16.67,99,100,5.39
251,Pyaozerskiy,RU,2022-01-02 08:54:16,65.8333,31.1667,1.27,99,87,4.18
252,Abu Samrah,SY,2022-01-02 08:54:17,35.3029,37.1841,50.85,60,67,2.68
253,Pacific Grove,US,2022-01-02 08:54:17,36.6177,-121.9166,47.61,58,7,6.55
254,Ishigaki,JP,2022-01-02 08:54:18,24.3448,124.1572,66.33,88,75,14.97
255,Nyagan,RU,2022-01-02 08:54:18,62.1406,65.3936,11.16,97,99,2.26
256,Tatawin,TN,2022-01-02 08:54:19,32.9297,10.4518,54.48,48,0,1.41
257,San Quintin,MX,2022-01-02 08:54:20,30.4833,-115.95,48.43,64,0,3.58
258,Nuuk,GL,2022-01-02 08:54:20,64.1835,-51.7216,11.86,81,100,7.65
259,Port Moresby,PG,2022-01-02 08:54:21,-9.4431,147.1797,85.42,66,20,14.97
260,Roros,NO,2022-01-02 08:54:21,62.5747,11.3842,22.84,86,75,3.44
261,Yairipok,IN,2022-01-02 08:54:22,24.6667,94.0667,71.91,42,0,2.04
262,Vallenar,CL,2022-01-02 08:54:23,-28.5708,-70.7581,64.96,74,0,3.27
263,Hays,US,2022-01-02 08:54:23,30.0502,-98.0336,35.76,72,29,8.01
264,Saint-Ambroise,CA,2022-01-02 08:54:24,48.5501,-71.3324,1.94,71,100,11.5
265,Aguadilla,PR,2022-01-02 08:54:25,18.4275,-67.1541,71.65,84,1,12.37
266,Nantucket,US,2022-01-02 08:54:25,41.2835,-70.0995,53.96,94,90,12.66
267,Bilma,NE,2022-01-02 08:54:26,18.6853,12.9164,62.06,40,80,7.74
268,Kavieng,PG,2022-01-02 08:54:26,-2.5744,150.7967,82.29,78,82,5.64
269,Sitka,US,2022-01-02 08:54:27,57.0531,-135.33,35.01,91,99,4.41
270,Najran,SA,2022-01-02 08:54:28,17.4924,44.1277,72.25,30,99,17.2
271,Geraldton,AU,2022-01-02 08:54:28,-28.7667,114.6,81.01,57,0,17.27
272,Ambunti,PG,2022-01-02 08:54:29,-4.2365,142.8448,77.83,94,100,1.34
273,Wainwright,CA,2022-01-02 08:51:15,52.839,-110.8572,6.71,90,87,5.32
274,Maragogi,BR,2022-01-02 08:54:30,-9.0122,-35.2225,78.4,75,90,6.78
275,Safford,US,2022-01-02 08:54:30,32.834,-109.7076,33.12,45,0,4.14
276,Karratha,AU,2022-01-02 08:54:31,-20.7377,116.8463,85.73,59,0,17.13
277,Toppenish,US,2022-01-02 08:55:32,46.3774,-120.3087,15.82,86,100,1.43
278,Buraydah,SA,2022-01-02 08:55:32,26.326,43.975,59.45,34,0,19.86
279,Haines Junction,CA,2022-01-02 08:55:33,60.7522,-137.5108,-11.25,58,100,14.97
280,Klaksvik,FO,2022-01-02 08:55:33,62.2266,-6.589,34.72,94,100,30.0
281,Khani,GE,2022-01-02 08:55:34,41.9563,42.9566,33.37,93,100,1.39
282,Mashhad,IR,2022-01-02 08:55:35,36.297,59.6062,51.94,58,75,6.91
