City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Yaan,NG,7.3833,8.5667,98.96,18,89,4.32,overcast clouds
Cherskiy,RU,68.75,161.3,-38.38,98,31,2.98,scattered clouds
Sioux Lookout,CA,50.1001,-91.917,-9.62,90,36,7.49,scattered clouds
Alofi,NU,-19.0595,-169.9187,81.63,76,100,13.89,overcast clouds
Jaciara,BR,-15.9653,-54.9683,79.72,79,28,3.67,scattered clouds
Faanui,PF,-16.4833,-151.75,77.25,91,100,27.96,heavy intensity rain
Mataura,NZ,-46.1927,168.8643,51.08,89,0,2.1,clear sky
Ibotirama,BR,-12.1853,-43.2206,80.26,51,2,6.17,clear sky
Gat,IL,31.61,34.7642,54.91,100,77,14.67,broken clouds
Monteiro,BR,-7.8894,-37.12,83.23,31,16,8.16,few clouds
Acapulco,MX,16.8634,-99.8901,72.54,82,2,4.56,clear sky
Jamestown,US,42.097,-79.2353,5.72,62,100,5.01,overcast clouds
Provideniya,RU,64.3833,-173.3,-6.57,90,2,9.82,clear sky
Chokurdakh,RU,70.6333,147.9167,-25.28,98,100,1.41,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,21.13,75,100,23.47,light snow
Pitimbu,BR,-7.4706,-34.8086,79.39,77,99,9.55,overcast clouds
Padang,ID,-0.9492,100.3543,82.45,84,25,2.53,scattered clouds
Atuona,PF,-9.8,-139.0333,76.03,83,100,13.51,moderate rain
Yulara,AU,-25.2406,130.9889,87.64,29,100,4.61,overcast clouds
San Juan,AR,-31.5375,-68.5364,92.98,19,95,7.27,overcast clouds
Honningsvag,NO,70.9821,25.9704,24.93,70,100,13.71,overcast clouds
Tiarei,PF,-17.5333,-149.3333,75.22,82,100,21.34,light rain
Turukhansk,RU,65.8167,87.9833,0.46,79,100,9.42,overcast clouds
Kaeng Khoi,TH,14.5862,100.9976,84.16,42,7,3.94,clear sky
Butaritari,KI,3.0707,172.7902,81.59,83,94,17.11,light rain
Awjilah,LY,29.1081,21.2869,59.43,42,6,9.04,clear sky
Bengkulu,ID,-3.8004,102.2655,79.72,80,96,2.57,overcast clouds
Hermanus,ZA,-34.4187,19.2345,86.9,79,100,10.47,overcast clouds
Lethem,GY,3.3803,-59.7968,83.35,64,100,10.2,overcast clouds
Flin Flon,CA,54.7682,-101.865,18.81,88,100,11.36,overcast clouds
Dubreka,GN,9.7911,-13.5233,84.27,37,100,5.68,overcast clouds
Bluff,NZ,-46.6,168.3333,55.42,89,31,1.14,scattered clouds
Kasempa,ZM,-13.4584,25.8338,75.42,61,91,4.79,overcast clouds
Kuching,MY,1.55,110.3333,77.22,94,20,3.44,moderate rain
Mahebourg,MU,-20.4081,57.7,86.29,74,75,0.0,broken clouds
Tiksi,RU,71.6872,128.8694,-23.06,99,46,6.35,scattered clouds
Kununurra,AU,-15.7667,128.7333,76.98,100,75,3.44,moderate rain
Thompson,CA,55.7435,-97.8558,10.56,85,100,6.91,overcast clouds
Sitka,US,57.0531,-135.33,40.89,87,100,5.75,light rain
